TimeStep,ID,Latitude,Longitude,Altitude,SignalStrength,CurrentBasestation,finished,Trajectory
106,1691499641,43.079501,-76.168209,4,131.0662641,7,1,-1
107,373889326,43.0263754,-76.034617,4,999,-1,1,-1
107,234184799,43.0257489,-76.1169007,4,132.4354702,8,1,-1
107,1053069655,43.050775,-76.2286778,4,131.340575,9,1,-1
107,72524579,43.0242513,-76.1316977,4,139.7107728,1,1,-1
107,203254937,43.0799992,-76.1819514,4,133.4673413,7,1,-1
107,1947862555,43.025672,-76.1343788,4,138.7320092,1,2,1
107,1509440266,43.0312958,-76.12426,4,136.3514896,1,1,-1
108,528871576,43.0703129,-76.1827618,4,126.3783031,7,1,-1
108,373889326,43.0263544,-76.034836,4,999,-1,1,-1
108,17496181,43.0365477,-76.1295494,4,130.1638967,1,1,-1
108,1737904745,43.0631773,-76.1655476,4,124.9262663,7,1,-1
108,234184799,43.0256193,-76.1167681,4,132.2681591,8,1,-1
108,799714932,43.028949,-76.1317059,4,136.6341487,1,1,-1
109,1509440266,43.0310855,-76.1239239,4,136.5816129,1,1,-1
109,127265642,43.0387458,-76.1242779,4,130.9192717,1,1,-1
109,234184799,43.0254894,-76.116636,4,132.0986413,8,1,-1
109,998966060,43.0440925,-76.2419329,4,139.7760168,4,1,-1
109,203254937,43.0797426,-76.1816816,4,133.1565202,7,1,-1
109,60575480,43.0440074,-76.224776,4,136.4616117,9,1,-1
109,1737904745,43.0630286,-76.16546,4,125.2036429,7,1,-1
110,528871576,43.0699908,-76.1828103,4,126.3146986,7,1,-1
110,2030645982,43.0245191,-76.0445515,4,999,-1,1,-1
110,1708706542,43.0267296,-76.0572254,4,999,-1,1,-1
110,1053069655,43.0506535,-76.2280361,4,131.2262729,9,1,-1
110,373889326,43.0263123,-76.0352739,4,999,-1,1,-1
110,2008179199,43.0350005,-76.1306807,4,999,-1,1,-1
111,17496181,43.0362072,-76.1290765,4,130.711921,1,1,-1
111,38604237,43.0377006,-76.1300661,4,128.9177408,1,1,-1
111,2030645982,43.0244663,-76.0447602,4,999,-1,1,-1
111,1708706542,43.0267078,-76.0574442,4,999,-1,1,-1
111,1947862555,43.0250239,-76.1343919,4,139.1370543,1,2,1
